,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Albania,0.00033112673799841363,0.00844332023281143,0.0015983506616458292,0.0045657500094497,8.162752298422054e-05,0.0024277361143406778,0.0011849146142439858,0.004411795944446872,0.0037405065805040413,0.005527756714383398,0.002826090313165287,0.017853536300450706,0.031087724409635177,0.000851172643053173,0.00665696600230609,0.009061242242766979,0.0192411771793257
Algeria,0.0022989416856187763,0.0013126182226978378,0.018442872020672435,0.00836087726347839,0.004305241352308423,0.03316207551460789,0.004876327980430487,0.0016006601088348054,0.02370526760001171,0.0363398235847957,0.002250401405413469,0.002924173288732113,0.029506995404537485,0.0016466721811360966,0.022545344370574538,0.011745589717950497,0.009274888592382326
Armenia,1.6916572191222294e-06,0.010524895044329192,0.00440850933863191,0.003702794532258191,0.023019239444655643,0.010736147052071291,0.0030011138769017952,0.0033129502624234405,0.023831933591093944,0.006660469213768845,3.397516393453881e-08,0.019403111701323427,0.008254506894690112,0.018401698256399552,0.002220251582102533,0.0003612684649930663,0.0027098793846388426
Azerbaijan,0.0002788850492440847,0.00018274079884305646,0.002694011952303635,0.008804388626774141,0.0019947561425751555,0.0070147532029075374,0.011390107105694625,0.006557483831530552,0.0012817259812643756,0.011343211153708892,0.02430914310665701,0.012355654867357346,0.09619507706240472,0.0035968598613277487,0.06760855437231293,0.010212538526648078,0.10888648967257533
Bahrain,0.038366853332548155,0.1724747000089897,0.009122139606997497,0.0008474267179793735,0.026207601583720323,0.032491822857458545,7.088520861950657e-05,0.025745059824411998,0.026942628097884745,0.008967168433799796,9.390056913771053e-05,0.04649541192617493,0.06980005344169997,0.2963152974652492,0.005723733280623456,0.08231516046860121,0.0057864318011471415
Bangladesh,0.037142788970832646,3.674026879024231e-05,0.0005845156512057217,0.1040326760485385,0.0002228051063326204,0.06156057467679683,0.006442089851309366,0.09039775597980862,0.0026900579808729745,0.006451302177616538,0.010806440384427077,0.005474651986475334,0.0025364827565637466,0.00033557947567254467,0.00179792914775139,0.011437705496328802,0.01890638611662966
Belarus,0.00016629602652663847,0.0011425311402621962,0.0011045810984083798,0.027703668199575236,0.06695307368002264,0.0021267156962034403,0.2460701163819561,1.924103542405727e-05,0.00422977996490826,0.01506480169363285,0.041597082012232355,0.004995802502967473,0.018810729329335966,0.001381835222726699,0.00262921972508446,0.01392779159251345,0.004177981001566944
Bosnia and Herzegovina,0.0017496793349093035,0.018060151192864148,0.004610249292027565,0.004358831666986248,0.003896876574419045,0.001148484802220353,0.024465561069781826,0.010569917413275334,0.0008291387994364468,2.1443348639592965e-06,0.0016690694820409384,0.011605257022897325,0.0013985661529686692,0.006464594610005462,0.02453721684662223,0.0008387000804390388,0.0011237199932797692
Brazil,0.0014826183770409655,0.00860583350493166,0.00040638453479320064,0.055846878633709324,0.0085507497760338,0.006339754328179047,0.020580496105805045,0.002799695436893411,0.009886741522505566,0.009178799328754863,0.0008745441133470853,0.0036529921445256955,0.00055444600017248,0.0033343963515843145,0.0023229812907236973,0.0002159052031755854,0.03543022650909551
Bulgaria,0.005124986044426475,0.005524946797496528,0.0027766779218189575,0.00022998229838527034,0.0021314299830838285,0.0012479148526682807,0.009247262591325538,0.0056037582216407495,0.021967876253016806,0.007153216060869276,0.009917800893564702,0.00107601496137015,0.013713624592834964,0.015598804567028616,0.04766808732296692,0.015500070989918607,0.02058324486260219
Chile,0.008429938595281647,0.00046034887867465904,0.00017197974008029046,0.0006403584512578505,4.323102129037522e-05,0.009003557192961047,0.02701891401697236,0.003930144868429924,0.003660326693114606,0.004616576101835065,0.0010740752575129772,0.0009932110241673696,0.003057619364785922,3.998408491805984e-05,0.003374584959645732,6.507403202683096e-05,0.02689447705327326
China,6.859173091862134e-06,1.9731510186466812e-05,0.006985002427373809,0.011838171612940658,0.0014410596223551845,0.00046909410798758966,0.004538132682063539,0.006551402022778515,0.0005678677409472381,0.0019111731719492413,0.0015515246210276636,0.0409864488904566,0.03184518570349295,0.006293100346638799,0.006445048816395972,0.004775404765466135,0.007134089539652326
Colombia,7.8416308769858e-05,0.010185405087511621,0.001385699484683613,0.03048459655324302,0.016147729202504152,0.00324519457475348,0.00015407647307967952,0.0010558145222283866,0.010921460254866453,3.613502076295429e-05,0.028043308733394366,0.001778971988106605,0.01245629559645892,1.054172122874429e-05,0.0031373573353953585,0.007983725333828972,0.015271740642544517
Costa Rica,0.0010641428287783002,0.0065807803731513966,0.001271552527250281,0.002250476399922128,0.022335287016580503,0.002865058181098185,0.012599715467500732,0.0021876033526812447,0.009149544888563399,0.0245169756910157,0.004341504034548464,0.006747711045407077,0.02441691729820167,0.00041159162198239034,0.005491356572010703,0.010721620873481696,0.016964512838068557
Croatia,0.008346187238449262,0.0070124679938890315,0.006427723980577213,0.003424697904517763,0.00041418397291594116,0.0005960856933099312,0.008632519057619399,0.0006339963087909337,7.153643064403759e-05,0.0015974085430102013,0.002122107908372845,0.0001417504582448285,0.0021963424126470953,0.0005352706451285062,0.002572216676127222,0.008932202941986588,0.00791613681935083
Cyprus,0.017940912562552043,3.814889320140503e-06,0.000188584410765656,0.010047929413950978,0.0028755806000777717,0.0008932832208838196,0.015622226391980154,0.01434780002588684,0.005305816755178794,0.0004585764253500624,7.99850983789906e-05,0.029492807777699324,0.016876224809560095,0.0007381984617831842,0.00044546937226556656,0.0004118702176110701,0.000636218261286582
Dominican Republic,0.0018537005621873921,0.00014280525039107747,0.004478712238609054,0.007451849990837998,0.025034199448131803,0.000292631935713651,0.0015108616158113113,0.012249936887278795,0.0031055977804677302,0.002022779444292018,0.021546301592041493,0.0011826342853290552,0.009925499310385142,3.6105546306821166e-05,0.0005781285509898679,0.001977635661974232,0.020157770843716165
Ecuador,0.0009281323323319179,0.005382361223978615,3.8936123818025184e-05,0.0010202930599901635,0.015456367049004948,5.275480708196065e-06,0.00531853049056737,0.03461731312852925,0.002211292090618316,1.658176417996893e-06,0.0023810797485522557,2.61302498433839e-05,0.00020875664262577946,0.00038955671691632827,0.0003251047159974863,0.004279773584437899,0.002289445017841627
El Salvador,0.0038755538271034386,0.007635405938627408,0.048771279421603295,0.07633561955133603,0.007608883868978824,0.0033693899017257084,0.0459280576473174,0.07427914296278448,0.004333652564409664,0.06525548374698506,0.008875286099209708,0.029406167402254133,0.031693478843253915,0.000959234095233984,0.006626838979136837,0.029105826223541752,0.004603283668758883
Estonia,0.02138617718595228,0.0001880751770404006,0.028305270212805815,0.0026173073605672286,0.0043237027550551005,0.005681613006217205,0.0026621092418170206,0.030702164375282167,0.00406901098290281,0.005534201721668113,0.006795975821599575,2.081752431854246e-06,0.0005320407016313319,0.0008061699728049978,0.006224440087454892,0.0014149580122279357,0.03572940208046831
Georgia,0.00026563120443434966,0.01291874498152683,0.0008727284856234793,0.00012848385370308341,0.005857331651708501,0.0003626251080781233,0.000824694132274114,0.006178061327375512,0.014919706334116517,0.0060455465081459,0.0015983191859806557,0.0015459257255657389,0.011751133617087744,0.011531844413660147,0.002095651223059854,0.0015414905755182626,0.0002513992312442894
Greece,0.03038488576448541,0.0007895303171763611,0.012341218971528787,0.0007079314670563442,0.00524067853891743,0.0033988631204727197,0.0004253978516463381,0.0069120058068772045,0.0110880340562769,0.0035503927279535046,5.211286503747189e-05,0.0036579236329217705,0.018642377672368038,0.004259612648077967,0.0445153299241196,0.007401236677290015,0.008004900147449966
Guatemala,0.012831012571588462,0.003108445151787242,0.02567089290518281,0.00888874794038767,0.016407510084909156,0.009327736427279631,0.017583920828603987,0.0004951691414092969,0.0017866443891245865,1.0054442054231176e-06,0.019529765585177012,0.02091878522611925,0.011378524140570593,0.0036575282713106286,0.0003427330612298601,0.0006938652067048403,0.0002010382898448906
Honduras,0.015551120880597557,0.007208599019936379,0.04677363928296165,0.11491169934233393,0.023263383202221266,0.05580835333505487,0.013530643595853821,0.019243760149332118,0.014408465681277483,0.00085713754344009,0.002743129794625709,0.015294206396928547,0.0006396437167600653,0.001715792396142361,0.02919595122831537,0.007561366309792221,0.00118198582018281
Hungary,0.01189235869253561,0.001722055840346919,0.002607383947070647,0.00153343616032138,0.001087339674437663,0.0077022436213285165,0.0032843238195085236,0.0007853877485775855,0.007513970290604577,0.012882283381469567,5.90913569008688e-05,5.49380155237202e-06,0.0001314199837749703,0.009476520079011045,0.003666056354580092,0.0003409354324300111,0.061206718505331936
India,0.018641531640705283,0.0015872852691615645,0.0036546310559268224,0.005708356000522968,0.018592456227131078,5.627230204331628e-05,0.003106705938606607,0.0016786334109338658,0.0021743331494317505,0.04463748444307233,0.020576258480969795,0.0002034964091458657,0.002266103361389419,0.0005356080132535965,0.00015378794010430369,0.0161658415379072,0.04168162393467497
