,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
Albania,0.047241865028891133,0.3795952699264691,0.04310010903953578,0.10966150338020023,0.0015570632238140084,0.04138654376165645,0.01776677793033781,0.048003966972407046,0.02831029679829757,0.038450942209643034,0.01614478602378776,0.07968653945544922,0.09668530850465189,0.0021605722614983966,0.015865719460448638,0.014527022050669941,0.019855713972241937
Algeria,0.133367065408974,0.023995721693523292,0.2022193511513382,0.08165480971806732,0.03339296549170782,0.229872617374145,0.029730511618210376,0.007081882047840879,0.07295359835014131,0.1027847624299468,0.005227500747602308,0.005307031655702671,0.037315081913446194,0.0016995977368300496,0.02184882878400856,0.007656874653705982,0.003891799224809276
Armenia,0.00013568410200867035,0.2660168332599738,0.06683160382455694,0.04999832959448959,0.2468564131897188,0.10289397533774008,0.025298100163110387,0.020265645508073516,0.10140446870190407,0.02604633999914182,1.0911680284287464e-07,0.04868732507956848,0.014432664070730742,0.026259887363296302,0.002974879881202089,0.000325613740422904,0.0015721270672590614
Azerbaijan,0.024672257830429967,0.0050944104006340795,0.045046048523787574,0.13112700724672627,0.023594475029905443,0.07415167319284727,0.10590105935579183,0.044243534872517205,0.006015338419134917,0.048926591392096055,0.08611261657466833,0.034196161794016106,0.18551339756023835,0.005661422089873478,0.09991621181514537,0.010152510354469523,0.06967528354771822
Bahrain,0.33327166455178947,0.4721090810277378,0.014976572846472918,0.0012392349243479008,0.030437314535042777,0.03372416321918116,6.47122745631465e-05,0.017055523005551465,0.012415476171544612,0.003797718917533551,3.266058103358968e-05,0.012635145313247066,0.013217116992693888,0.04579463871546078,0.0008305623584992739,0.008034856207321398,0.00036355835797913493
Bangladesh,0.5220113267422097,0.00016271308982954497,0.001552655407651207,0.24614128800245194,0.0004186657186919353,0.10337915501010331,0.009515268070396845,0.09689290856456781,0.002005618246781047,0.004420568067397236,0.0060813717303821666,0.0024070763470587712,0.0007770985530373245,8.391105132937513e-05,0.0004221129120125539,0.0018063437332355187,0.0019219187528637682
Belarus,0.003786897735726988,0.008198690610092707,0.004754149475560829,0.10620580746468443,0.2038492275029687,0.0057867675616299265,0.588910657853347,3.341635465637302e-05,0.005109762283383929,0.016725935048947663,0.03792958095665,0.003559056633326039,0.009337833150271757,0.0005598559770476376,0.0010001824616523703,0.003564019205530054,0.0006881597245236906
Bosnia and Herzegovina,0.12384040595114888,0.4028098050315919,0.06167395993913533,0.051937768341030054,0.0368771543270145,0.009713014879846727,0.18199016504269014,0.05705640785345709,0.0031132382558833197,7.399830859167071e-06,0.004730333865259275,0.025697247080094035,0.00215787204289878,0.008140733841360472,0.02901214594958259,0.0006670627050172557,0.0005752850631305307
Brazil,0.07626448584720667,0.13949564671920997,0.003950969345556878,0.4836165512156155,0.05880767521340873,0.038966400835692014,0.1112596378009644,0.010983295917683137,0.02697909414510793,0.023019936689886205,0.0018013087638161947,0.0058785421795045575,0.0006217144951242048,0.003051606600017345,0.0019961323266440988,0.0001247992994860407,0.013182202605076026
Bulgaria,0.39717457795387606,0.1349247441297307,0.040671274574676425,0.003000491830042475,0.02208496279871099,0.011555762470106593,0.07531661280738179,0.03312051431268045,0.09031461703546394,0.02702809149581022,0.03077638556794352,0.0026087652338873594,0.023167532585624876,0.021507920779127936,0.061711645958166465,0.013498282526828541,0.011537817939941698
Chile,0.613149625449583,0.010551249506381068,0.0023642470968341005,0.007841054722481816,0.0004204113160426504,0.07824941164330602,0.20653743530867105,0.02180115701196736,0.01412352557581429,0.016371457199344668,0.003128169243501772,0.0022600160325916482,0.0048480182575725336,5.174251960159237e-05,0.004100275807584069,5.318704276695244e-05,0.014149016265955645
