,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17
homicidiesper100k,0.06991230637355003,0.08014330098646913,0.16190501404996555,0.7648973636343184,0.7816092682934463,0.8604400038638923,0.9181696531868568,0.9857514957821302,0.98961565803062,1.0021030477476631,1.0037325888835862,1.0080451132079717,1.0086219625843957,1.0088225487931823,1.0156726738930826,1.0160784457266865,1.0161290322580667
electricity,0.48880998575764556,0.8356534979022092,0.8399476825904341,0.8401100721159366,0.871367067429096,0.9080400656365142,0.9085159437102565,0.9187904644567385,0.9227663620975715,0.9228327577103201,0.9230211850980796,0.9358385110146746,0.9495946977134466,1.009472430509293,1.012072620773295,1.0153502822398621,1.0161290322580665
Schooling,0.5845850191862039,0.5959470521645763,0.7349194167455138,0.7559751964626173,0.7563548530200878,0.8116172554573179,0.8739109061755387,0.8749025583267952,0.8853584231816074,0.9140754119837037,0.9210257210292337,0.9856737685985646,0.9986490581271751,1.0082804034628663,1.0111418961748113,1.01601734830974,1.0161290322580652
HIV.AIDS,0.26755135170917344,0.47382081922727387,0.7298667163146086,0.7991875928189038,0.8252778225285072,0.8664851577899023,0.8888958322695452,0.8987625770203311,0.9063169700731746,0.9185124239864382,0.981905022946713,0.9821435540418727,1.0021305186176883,1.007602932406313,1.0152806043121634,1.0156974046461642,1.0161290322580645
wateraccess,0.5966558054248633,0.6701282900963778,0.6871263067852308,0.6873379240688942,0.7364838121077897,0.7514446609755472,0.7708174544389385,0.7976087095868984,0.887123503870023,0.9171362305039205,0.9951159623425813,0.9962607637766765,1.0094687358401762,1.0133047914766313,1.0143629782338743,1.0149735593755116,1.016129032258064
tuberculosis,0.4753846062769429,0.5899484776728433,0.7068137497334968,0.7111142515075827,0.7451895029366634,0.8153625915368353,0.8340741906251135,0.8623692663680477,0.8633013308983766,0.9530459219901486,0.9887328550436348,1.0004781834524203,1.004970608705733,1.0074022605692983,1.0075872879592418,1.011613650618365,1.0161290322580654
inflation,0.31239241425050507,0.33029546632395473,0.3360064671138835,0.40427835619152824,0.5283547919744612,0.5396469085062444,0.9598750301860131,0.9707623677090227,0.9764003276042994,0.9866336052356675,1.0048237617094444,1.008053950811405,1.0124247158563087,1.0124445272019114,1.0137221909561667,1.016115833745007,1.0161290322580647
healthexppercapita,0.7450701905117793,0.7739838045920893,0.8358617454396565,0.8360497125497283,0.8751916417222512,0.8759822558520671,0.8761941902287891,0.92278431482858,0.9551753135761927,0.9593304457140945,0.9611309768526696,0.9713309014555658,0.9754592830412762,0.981538938767767,0.9862976008452017,1.0015085083717346,1.0161290322580656
fertilityrate,0.5980896088432386,0.7405675246605985,0.7463144072425233,0.7508341615903107,0.828707832719741,0.8407601438451182,0.8430607261133353,0.9006912616524945,0.9007171708669642,0.9081925727734504,0.9183572905732718,0.9549798153633713,1.0056202960721425,1.0080652811324355,1.012007782641082,1.0135817602212458,1.0161290322580645
lifeexp,0.748941101123585,0.8045265263862384,0.8289761819133078,0.84880606348466,0.936004094869063,0.9362230939689042,0.942661981920082,0.9461663994650492,0.9656116398383798,0.9657297259256591,0.9682025103425709,0.9705375099662409,0.9733407618983471,0.9762456453787545,0.978082081399026,0.9936245998441221,1.016129032258065
internet,0.7724502342652798,0.8217570129213957,0.8343044525491935,0.8365722935416912,0.8411066346360907,0.8496737440771339,0.8514297654660213,0.8647285024276962,0.9227015707443497,0.930120418188819,0.9322674139723128,0.936722680666317,0.9616678374147644,0.971930660028228,1.008511059738175,1.0161283777999295,1.016129032258066
gdppercapita,0.6506810329850278,0.7917463907393233,0.815890476783564,0.8174103109683515,0.848080668970014,0.8571685454447169,0.8573266013540446,0.8851659202923399,0.9173870191139084,0.9472993891448626,0.9480459737484248,0.9738964184923435,0.9742661638131166,0.975641557905887,0.990223989260831,1.0143038177136814,1.0161290322580654
CO2,0.2608146913323926,0.6317418425030579,0.6328535558168432,0.6541782037175242,0.7778371486996263,0.8955459475160116,0.9062648332564174,0.9480146721747378,0.96202627218684,0.9696323425144124,0.9738545739846566,0.9748804351371172,0.9753099220377988,0.9907172593373478,1.0129192927539932,1.0131504263404787,1.0161290322580652
forest,5.434093921689435e-05,0.23112272019826885,0.5110505473699805,0.6070806504208053,0.7061419037485948,0.8431321801398528,0.8529101841463219,0.9605459831951682,0.9665754073369811,1.014526648004511,1.0153654883980734,1.015576912595962,1.0157523973305398,1.0157744316025767,1.0160244570482981,1.0161216413119418,1.0161290322580667
urbanpop,0.4366969692924192,0.4905893946858,0.541721488997747,0.6483771081790584,0.709153680339792,0.7578256108224293,0.8658307063481151,0.8720461905024546,0.9471384234236206,0.9474952218994955,0.9951110160394242,0.9971033814351717,0.9979596396358945,0.9986409417647116,1.0143309442668187,1.016129029258884,1.0161290322580645
urbanpopgrowth,0.07036537089168617,0.5206317904475571,0.6913134894234365,0.7244801660165132,0.884562221157781,0.9065508902147135,0.9089399468811723,0.9119036874457801,0.9136641297752189,0.9411189734672544,0.9534838291706574,1.0020408555202212,1.0062278522583175,1.0148408966987488,1.0149576504348683,1.015144396395968,1.0161290322580658
leastdeveloped,0.2569006471806134,0.2642625490208515,0.3984143851488513,0.5814928726698663,0.5975086900039384,0.8095207796698725,0.8374631288798872,0.9347823100205229,0.9630340385074222,1.0047687309892392,1.0120984622227032,1.0121941320774943,1.0141966646988336,1.0154443292445745,1.0155130182175607,1.0155975187164195,1.0161290322580656
