,homicidiesper100k,electricity,Schooling,HIV.AIDS,wateraccess,tuberculosis,inflation,healthexppercapita,fertilityrate,lifeexp,internet,gdppercapita,CO2,forest,urbanpop,urbanpopgrowth,leastdeveloped
Albania,-0.333952486355441,-0.2849933169463908,0.19758283333037316,-0.265315573771463,0.1782915132952047,-0.5522644978534657,-0.5352597077997817,-0.5774725501375473,-0.5296905101707007,0.7250546508499425,0.4731594709790539,-0.6296955779786222,-0.5977297994652114,-0.03528872811632047,-0.34790648111436356,-0.07849558462413272,-0.26037782196164777
Algeria,-0.5228305917597711,-0.5969352076555299,0.2996133128370422,-0.265315573771463,-1.1480835425275613,-0.18393922111135405,-0.17782704262561477,-0.4311282506589093,1.099485845894249,0.23227944177783097,-0.9740507119087821,-0.547761193784586,-0.3012449570562055,-1.5630725718576748,0.4003746703678614,0.5771187789924267,-0.26037782196164777
Armenia,-0.4480249956082202,-0.39744493767944555,-0.5676457629696404,-0.265315573771463,0.7638084298295799,-0.28259777738156255,-0.16017812838149365,-0.7011921116346448,-0.6346205127647144,-0.06185769852102981,0.2141185842776949,-0.6835909516837481,-0.5769529806886896,-0.9582797325852468,0.014845557026280154,-1.261279890166578,-0.26037782196164777
Azerbaijan,-0.44759359557923367,-0.32000450379157064,-0.8227219617363116,-0.265315573771463,-0.885198396328454,-0.1576302727726318,-0.5964771140240963,-0.30355296478813226,-0.17071944866486435,-0.5828581887329328,1.177847521939708,-0.3239595628987298,-0.2130117735899662,-0.8571426941437373,-0.4564229751074014,0.0029928935799088748,-0.26037782196164777
Bahrain,-0.5938416386843981,5.371536637761349,0.35062855259037623,-0.265315573771463,0.7638084298295799,-0.5522644978534657,-0.25201608872889375,0.8001560754934279,-0.021608392347055593,0.4404674177036454,1.9110589599971615,1.2535290522378053,3.0671360305440447,-1.5660204029087739,1.4141714413352997,1.692346739600247,-0.26037782196164777
Bangladesh,-0.42157841205084967,-0.9392403552734635,-1.9450572363096645,-0.265315573771463,-0.885198396328454,0.7960691045060501,0.9391699641305945,-1.1959495084157066,0.09850884746451298,-0.5822215282560954,-1.7118441384790515,-0.9521789431338612,-0.8036050330974803,-0.9949171353854123,-1.5891486173025913,1.0685977217224512,3.840572873934305
Belarus,-0.3653842803357215,0.16359605408746442,0.9628114296303868,-0.265315573771463,0.7279604553478838,-0.32206119988964593,3.989655089579024,-0.14217038153885853,-0.5490197211748611,-0.33440531915386196,0.4220814645241892,-0.28453177105183663,0.24665101416701304,0.7597594546678988,0.7513585529880205,-0.7886682467636413,-0.26037782196164777
Bosnia and Herzegovina,-0.5282844427506577,0.06072682287036733,0.19758283333037316,-0.265315573771463,0.7518591050023484,-0.381256333651771,-1.2233884817659408,-0.131443054122903,-1.051579207283032,0.427521988007954,-0.008405277785409542,-0.5719589249316666,0.06985304507637168,0.7730768645788604,-0.8676034136157522,-0.9346110767468225,-0.26037782196164777
Brazil,1.4536893693380397,-0.18942460976184228,0.7077352308637156,-0.265315573771463,0.5367712581121686,-0.3746790965670904,0.7575631101768666,0.4705918507765405,-0.4703222192293509,0.10515956656930467,0.2107226545055422,0.05770281582755523,-0.5052423855225854,1.6934521362926704,1.2285382784476597,-0.24410897388673855,-0.26037782196164777
Bulgaria,-0.5130552391243888,0.5003618929132494,0.5036742718503793,-0.265315573771463,0.6921124808661877,-0.4470287044985766,-1.366206917602732,0.11374200994354944,-0.7782089373670489,-0.017110301281529638,0.25513205453745513,-0.32641018690915813,0.19142254581099727,0.3478662011559837,0.5863874511755165,-1.1046687594558775,-0.26037782196164777
Chile,-0.36258559555317627,0.23941974794488796,1.2178876283970579,-0.265315573771463,0.6443151815572585,-0.5522644978534657,0.3160845607312241,0.45225028259621547,-0.40819261243026367,0.9699567142733811,0.5209268659044366,0.3131435364926222,-0.12850818345192855,-0.30006819928587114,1.3267508574688442,-0.4184564349786992,-0.26037782196164777
China,-0.5787989507853404,0.24445847304544013,-0.36358480395630327,-0.265315573771463,0.14244353881350866,-0.21024816945007632,-0.45066318512380277,-0.7538020881690767,-0.6677563030575606,0.2940355080310539,-0.10383282415923376,-0.3431391491422098,0.20206103025760322,-0.37945546708247146,-0.46526264953062213,0.8303372200986846,-0.26037782196164777
Colombia,1.450881066911707,-0.6187638494527183,-0.10850860518963207,-0.265315573771463,-0.27578283013961596,-0.4601831786679378,-0.18306514943303406,-0.41866409709666086,-0.27150747747227216,-0.11130499555539568,0.1170322593076354,-0.3162905883590851,-0.5941162246575233,1.335453334619221,0.8989756927426678,-0.10188342877055387,-0.26037782196164777
Costa Rica,0.11539361452784423,-0.4000153142924892,0.044537114070371,-0.265315573771463,0.4889739588032412,-0.578573446192188,0.2614427471939786,0.02801713270972657,-0.37919879592402317,1.0385038256128685,0.13736887298873895,-0.0711041422004193,-0.577998606302475,1.3707346466900125,0.7105767421520566,0.6337644218466798,-0.26037782196164777
Croatia,-0.5698258061638743,0.17485622933589098,0.6567199911103815,-0.265315573771463,0.7160111305206507,-0.5719962091075074,-1.0364330327345133,0.7389906031649793,-0.874854992387851,0.62213822586059,0.8737434660463728,0.20355202687047733,-0.05403113396732634,0.3077767506207794,-0.37502204682976525,-0.9077390571265531,-0.26037782196164777
Cyprus,-0.5616868953540236,0.14556784385989713,0.09555235382370506,-0.265315573771463,0.7638084298295799,-0.6318490665781005,-1.3488833449483961,1.4094949166899773,-1.0129207852747109,1.19406120212013,0.9096872483664631,1.4772279115024205,0.2866994661386888,-0.5654018658193748,0.22737736110359877,-0.3811956949928181,-0.26037782196164777
Dominican Republic,0.66532395622638,-0.5243135074626758,-0.3125695642029692,-0.0020890990060745043,-1.0285902942552398,-0.30890672572028477,-0.1554264923939218,-0.5228289266463687,0.5347967529869907,-0.22569166122717438,-0.024378147451666308,-0.4663201977104152,-0.5071219455164829,0.6438390084565156,0.8043423683959156,0.6547568650206615,-0.26037782196164777
Ecuador,-0.017644850731536724,-0.5889670635564163,0.09555235382370506,-0.265315573771463,-0.8015531225378287,-0.3878335707364516,0.006468079992125459,-0.3653382832589713,0.6190168866479754,0.2827878396069278,-0.21306452810919302,-0.46190923517483473,-0.4561311772419912,1.2287328331673424,0.022925995609469906,0.06598765425304645,-0.26037782196164777
El Salvador,4.026309306344748,-0.7334520224956372,-0.3125695642029692,-0.13370233638876872,-0.06069498324943793,-0.36810185948240987,-0.6645657540110795,-0.615395851311488,0.044663188238637325,-0.32501069561380275,-1.1981454317118445,-0.7204088718645312,-0.6854626623457541,-0.8830702930509077,0.3273253363305688,-0.07806502792902373,-0.26037782196164777
Estonia,-0.40081773909176005,1.1626160249899729,1.370933347657061,-0.265315573771463,0.7160111305206507,-0.5193783124300628,-1.0065472037332932,0.5189611993576385,-0.7644023580783628,0.5279331794873705,1.6149197714852013,0.8164098857745657,1.3974286388633141,1.2574760498578743,0.2945155018149333,-1.2500371913981394,-0.26037782196164777
Georgia,-0.431027550811452,-0.15911506949025747,-0.15952384494296612,-0.265315573771463,0.7160111305206507,0.03968683976778514,-0.13619089852780678,-0.5542958437683966,-0.12515773701220032,-0.3385927857863345,-0.28828118080180104,-0.6426151418546456,-0.5588270180190787,0.6581122657574054,-0.3129816324729263,-0.9152173097387335,-0.26037782196164777
Greece,-0.5620404787276002,0.616117909202971,1.7280400259304003,-0.265315573771463,0.7638084298295799,-0.6252718294934199,-1.3368824257153942,2.1089414967396523,-1.095760261006827,1.4513496755075719,0.620245211788896,0.9561221664496552,0.4613715325645439,0.13351230575536796,0.8060777646017011,-0.7663487322381247,-0.26037782196164777
Guatemala,1.7097637459583093,-0.8516917042396907,-1.5879505580363251,0.12952413837661977,-0.10849228255836543,-0.4930693640913406,-0.040369193368600315,-0.7304759338450515,1.3742367737391004,-0.3559948388198876,-1.2625468594779259,-0.7119203477087849,-0.7158990375260369,0.2539508338377201,-0.7160816323980878,0.5698314770737269,-0.26037782196164777
Honduras,4.358348951835399,-0.8345908547071846,-1.230843879762985,-0.0020890990060745043,-0.3594281039302412,-0.39441080782113214,0.702763907352473,-0.8343752590916856,0.6424880714387421,-0.289782149228803,-1.4668588852973852,-0.8452898239932292,-0.689888956215296,0.741655346903358,-0.4514337110157672,0.8412261754077021,-0.26037782196164777
Hungary,-0.521892357345793,0.2571945958278001,1.0138266693837217,-0.265315573771463,0.7638084298295799,-0.5956742626123573,-1.0398240397697542,0.8643769846350144,-0.902468150965223,0.2582582940137193,1.2087393966687634,0.2580923466314047,-0.014001911851362151,-0.33602890959621057,0.40070005715644624,-0.7804972966233129,-0.26037782196164777
India,-0.3597569867076566,-0.7771631410757259,-1.1288134002563168,-0.13370233638876872,0.05879826502288339,0.8092235786754112,0.7641538081981291,-1.0781095571212305,0.40087293388673645,-1.3848381693890555,-1.3760535404887366,-0.9068222973445771,-0.6300485977708818,-0.285261093881262,-1.651568649579446,0.4091447298627207,-0.26037782196164777
Indonesia,-0.5955784298902677,-0.7751008813506148,-0.4656152834629714,-0.0020890990060745043,-0.8135024473650619,1.5064107096515509,0.7755934511739025,-0.9598612978310913,0.44229267175279485,-1.2076343366693258,-1.558610119114457,-0.7300253912801596,-0.5470914601405718,1.216232843195702,-0.553334006974247,0.5918343746487739,-0.26037782196164777
Italy,-0.5734374350563005,0.5964150627662544,1.2689028681503929,-0.265315573771463,0.7638084298295799,-0.6134328027409949,-0.9113634013081138,2.841427619800764,-0.999114205986025,1.8131591662617537,0.2621533990517611,2.214608967179618,0.31125687159081655,0.14512365340040978,0.3489093266400291,-0.573898050497795,-0.26037782196164777
Jamaica,1.9879236636803486,-0.6953651214409835,-0.5166305232163054,0.261137375759314,0.022950290541187333,-0.6325067902865686,1.2950900719905036,-0.7365121355890013,-0.06440878814198181,0.24246600940722604,-0.45841184726667,-0.6055862539662193,-0.3344328199540707,0.12065893973536168,-0.4476375318156109,-0.5308816588830311,-0.26037782196164777
Jordan,-0.483818278678591,-0.4228645921286998,-0.36358480395630327,-0.265315573771463,0.39337936018538444,-0.6213254872426116,-0.18276005474229579,-0.2682507022745961,1.9499711300773068,-0.10875835364804616,-0.18423338987522445,-0.6769247294092782,-0.32153567181830905,-1.5474362114818596,1.473012218937721,2.3697840678593334,-0.26037782196164777
Kazakhstan,-0.24710819325898986,0.7920703326750542,0.6057047513570475,-0.265315573771463,-0.08459363290390083,-0.058971716502423326,0.9001917922260131,-0.48733720876408165,0.892387156563959,-0.6210578173431727,0.7521967284639633,0.12975102652399803,1.545047262560162,-1.5403218185352872,-0.31021584476995523,-0.14163318467303143,-0.26037782196164777
Kenya,-0.2591320123641984,-0.9862567323789541,-1.383889599022988,3.419855072943976,-3.6454924314190764,2.124670995611524,0.9080607283367048,-1.0899643413714024,2.6168289097208413,-1.762377832153607,-1.5888785673840065,-0.9290540645781354,-0.8185422052496465,-1.179566099113163,-2.04002624401829,1.457057105981297,-0.26037782196164777
Latvia,-0.3960051078176578,0.1071139963042606,1.11585714889039,-0.265315573771463,0.6801631560389546,-0.381256333651771,-0.8073469875175311,0.17266002160506103,-0.6125299859028168,-0.08957572254810042,1.2171011761040753,0.39824316689759554,-0.26106143635510426,1.4031976285303205,0.2773242331513683,-1.7048374856823265,-0.26037782196164777
Lebanon,-0.3132463666943103,-0.09405032795720071,-0.2615543244496342,-0.265315573771463,0.6443151815572585,-0.5654189720228268,-0.4690405795554255,0.22652891379267834,-0.5255485363840947,0.9941498123931986,1.0832578814121612,-0.2530112631599712,-0.1466593488509276,-0.8601004620160411,1.3616757061102818,1.168395321510416,-0.26037782196164777
Lithuania,-0.23225898034513323,0.2097985531284879,1.370933347657061,-0.265315573771463,0.3575313857036867,-0.27602054029688194,-0.9489896766419177,0.5173592202528802,-0.6401431444801889,-0.0062404887282022856,1.0421117095457422,0.4747318358781318,-0.11808288180031329,0.331538682631242,0.23155315822377054,-1.751446391759918,-0.26037782196164777
