,F1
homicidiesper100k,-0.2373411169903194
electricity,0.662294760170168
Schooling,0.7346662270624041
HIV.AIDS,-0.47208517239638087
wateraccess,0.741434361104098
tuberculosis,-0.649733674261963
inflation,-0.5163718697959864
healthexppercapita,0.8533772952180441
fertilityrate,-0.7427220199314993
lifeexp,0.8533258537451323
internet,0.8704221009628467
gdppercapita,0.7850893862486572
CO2,0.46888016745695194
forest,-0.005887457236857969
urbanpop,0.6218675693142182
urbanpopgrowth,-0.23677926815192948
leastdeveloped,-0.46269932780020273
